"","Suburb","Rooms","Type","Method","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount","Price"
"2363","Brunswick West",2,"h","S",2016-11-12,5.9,"3055",2,1,1,321,81,1960,"Moreland City Council",-37.8355,145.0589,"Northern Metropolitan",7082,989000
"2364","Brunswick West",3,"h","S",2016-11-12,5.9,"3055",3,1,2,501,119,1950,"Moreland City Council",-37.753,144.9421,"Northern Metropolitan",7082,920000
"2365","Brunswick West",2,"u","S",2016-11-12,5.9,"3055",2,1,1,321,74,1987,"Moreland City Council",-37.7552,145.0005,"Northern Metropolitan",7082,450000
"2366","Brunswick West",3,"h","S",2016-11-12,5.9,"3055",3,1,2,512,25,1950,"Moreland City Council",-37.7758,144.9435,"Northern Metropolitan",7082,1172000
"2367","Brunswick West",3,"h","PI",2016-11-12,5.9,"3055",3,1,2,364,135,1900,"Moreland City Council",-37.7618,144.9497,"Northern Metropolitan",7082,1300000
"2368","Brunswick West",3,"h","S",2016-11-12,5.9,"3055",3,1,2,353,101,1930,"Moreland City Council",-37.764,144.9428,"Northern Metropolitan",7082,1330000
"2369","Brunswick West",3,"h","S",2016-05-14,5.9,"3055",3,1,1,412,133,1934,"Moreland City Council",-37.7618,144.9455,"Northern Metropolitan",7082,1245000
"2371","Brunswick West",2,"u","S",2016-05-14,5.9,"3055",2,1,1,321,81,2005,"Moreland City Council",-37.7895,144.9261,"Northern Metropolitan",7082,515000
"2372","Brunswick West",2,"h","SP",2016-05-14,5.9,"3055",2,1,1,410,120,1920,"Moreland City Council",-37.7613,144.9446,"Northern Metropolitan",7082,900000
"2373","Brunswick West",3,"t","PI",2016-05-14,5.9,"3055",3,1,2,263,133,2014,"Moreland City Council",-37.7307,144.9826,"Northern Metropolitan",7082,650000
"2376","Brunswick West",7,"h","S",2016-10-15,5.9,"3055",7,3,1,447,287,1982,"Moreland City Council",-37.7634,144.9403,"Northern Metropolitan",7082,1205000
"2377","Brunswick West",3,"t","S",2016-10-15,5.9,"3055",3,1,2,263,133,2014,"Moreland City Council",-37.80594,145.0451,"Northern Metropolitan",7082,775000
"2378","Brunswick West",2,"u","PI",2016-10-15,5.9,"3055",2,1,1,0,62,1970,"Moreland City Council",-37.7676,144.9394,"Northern Metropolitan",7082,380000
"2379","Brunswick West",3,"h","S",2016-10-15,5.9,"3055",3,1,1,411,168,1935,"Moreland City Council",-37.7728,144.9478,"Northern Metropolitan",7082,1095000
"2380","Brunswick West",2,"t","VB",2016-10-15,5.9,"3055",2,1,1,0,82,1970,"Moreland City Council",-37.772,144.9406,"Northern Metropolitan",7082,680000
"2381","Brunswick West",2,"h","S",2016-04-16,5.9,"3055",2,1,1,177,87,1910,"Moreland City Council",-37.7619,144.9412,"Northern Metropolitan",7082,711000
"2382","Brunswick West",2,"h","S",2016-04-16,5.9,"3055",2,1,4,576,120,1960,"Moreland City Council",-37.7578,144.9439,"Northern Metropolitan",7082,910000
"2383","Brunswick West",3,"h","S",2016-07-16,5.9,"3055",3,1,3,608,134,1943,"Moreland City Council",-37.7694,144.9448,"Northern Metropolitan",7082,1186000
"2384","Brunswick West",2,"u","S",2016-07-16,5.9,"3055",2,1,1,0,75,1970,"Moreland City Council",-37.7595,144.9436,"Northern Metropolitan",7082,500000
"2386","Brunswick West",2,"h","S",2016-09-17,5.9,"3055",2,1,1,284,68,1926,"Moreland City Council",-37.7646,144.9476,"Northern Metropolitan",7082,1005000
"2387","Brunswick West",2,"u","SP",2017-03-18,5.9,"3055",2,1,1,0,62,1970,"Moreland City Council",-37.7688,144.9421,"Northern Metropolitan",7082,385000
"2388","Brunswick West",2,"u","S",2017-03-18,5.9,"3055",2,1,1,0,88,1970,"Moreland City Council",-37.7609,144.9425,"Northern Metropolitan",7082,656000
"2389","Brunswick West",2,"u","S",2017-03-18,5.9,"3055",2,1,1,2120,59,1960,"Moreland City Council",-37.7524,144.9347,"Northern Metropolitan",7082,370000
"2390","Brunswick West",1,"u","S",2016-06-18,5.9,"3055",1,1,1,0,43,1970,"Moreland City Council",-37.7661,144.9422,"Northern Metropolitan",7082,320000
"2391","Brunswick West",4,"h","S",2016-11-19,5.9,"3055",4,1,1,384,132,1925,"Moreland City Council",-37.7733,144.9491,"Northern Metropolitan",7082,988000
"2392","Brunswick West",4,"h","PI",2016-11-19,5.9,"3055",4,2,2,263,169,2015,"Moreland City Council",-37.716,145.0884,"Northern Metropolitan",7082,910000
"2393","Brunswick West",2,"u","S",2016-05-22,5.9,"3055",2,1,1,0,78,2009,"Moreland City Council",-37.7752,144.9463,"Northern Metropolitan",7082,400000
"2395","Brunswick West",1,"u","S",2016-05-22,5.9,"3055",1,1,1,0,42,1970,"Moreland City Council",-37.7748,144.9483,"Northern Metropolitan",7082,330000
"2396","Brunswick West",2,"u","PI",2016-05-22,5.9,"3055",2,1,1,321,81,1980,"Moreland City Council",-37.7149,145.0009,"Northern Metropolitan",7082,315000
"2397","Brunswick West",2,"u","S",2016-05-22,5.9,"3055",2,1,1,321,81,1990,"Moreland City Council",-37.7049,144.9878,"Northern Metropolitan",7082,380000
"2398","Brunswick West",5,"h","PI",2016-08-22,5.9,"3055",5,2,3,553,193,1920,"Moreland City Council",-37.7576,144.9348,"Northern Metropolitan",7082,1200000
"2399","Brunswick West",2,"u","SP",2016-08-22,5.9,"3055",2,1,1,501,66,1960,"Moreland City Council",-37.7741,144.9449,"Northern Metropolitan",7082,537000
"2400","Brunswick West",3,"h","S",2016-08-22,5.9,"3055",3,1,2,717,141,1950,"Moreland City Council",-37.7525,144.9321,"Northern Metropolitan",7082,910000
"2401","Brunswick West",1,"u","PI",2016-08-22,5.9,"3055",1,1,1,0,45,1970,"Moreland City Council",-37.7675,144.939,"Northern Metropolitan",7082,285000
"2402","Brunswick West",4,"h","S",2016-08-22,5.9,"3055",3,1,1,575,165,1930,"Moreland City Council",-37.7575,144.9402,"Northern Metropolitan",7082,921500
"2403","Brunswick West",3,"h","S",2016-04-23,5.9,"3055",3,1,2,505,25,1950,"Moreland City Council",-37.757,144.9446,"Northern Metropolitan",7082,995000
"2404","Brunswick West",3,"h","S",2016-04-23,5.9,"3055",3,1,4,357,136,1950,"Moreland City Council",-37.762,144.9497,"Northern Metropolitan",7082,901000
"2405","Brunswick West",2,"h","S",2016-09-24,5.9,"3055",2,1,2,554,116,1930,"Moreland City Council",-37.7715,144.9426,"Northern Metropolitan",7082,1315000
"2406","Brunswick West",2,"u","VB",2016-09-24,5.9,"3055",2,1,1,0,65,1970,"Moreland City Council",-37.7606,144.9443,"Northern Metropolitan",7082,370000
"2407","Brunswick West",2,"t","S",2016-09-24,5.9,"3055",2,1,2,120,109,2004,"Moreland City Council",-37.7659,144.9487,"Northern Metropolitan",7082,735000
"2408","Brunswick West",4,"h","S",2016-09-24,5.9,"3055",3,1,1,589,148,1935,"Moreland City Council",-37.7628,144.9459,"Northern Metropolitan",7082,1000000
"2409","Brunswick West",1,"u","PI",2017-02-25,5.9,"3055",1,1,1,0,45,1970,"Moreland City Council",-37.7586,144.9433,"Northern Metropolitan",7082,252000
"2410","Brunswick West",3,"h","S",2017-02-25,5.9,"3055",3,1,2,263,133,2014,"Moreland City Council",-37.7331,144.9826,"Northern Metropolitan",7082,1180000
"2411","Brunswick West",3,"u","S",2017-02-25,5.9,"3055",3,1,2,263,133,2014,"Moreland City Council",-37.79003,144.9826,"Northern Metropolitan",7082,737000
"2412","Brunswick West",4,"h","PI",2017-02-25,5.9,"3055",4,2,2,621,184,1920,"Moreland City Council",-37.7764,144.9479,"Northern Metropolitan",7082,1700000
"2413","Brunswick West",2,"h","S",2016-07-26,5.9,"3055",3,1,1,206,98,1900,"Moreland City Council",-37.7604,144.9488,"Northern Metropolitan",7082,820000
"2414","Brunswick West",2,"u","VB",2016-06-27,5.9,"3055",2,1,1,0,65,1970,"Moreland City Council",-37.7686,144.9421,"Northern Metropolitan",7082,370000
"2415","Brunswick West",3,"h","VB",2016-06-27,5.9,"3055",3,1,2,263,133,2014,"Moreland City Council",-37.875,145.0861,"Northern Metropolitan",7082,1100000
"2416","Brunswick West",2,"u","VB",2016-06-27,5.9,"3055",2,1,1,321,81,1970,"Moreland City Council",-37.7719,145.0195,"Northern Metropolitan",7082,400000
"2417","Brunswick West",2,"u","S",2016-06-27,5.9,"3055",2,1,1,0,65,1950,"Moreland City Council",-37.7543,144.9385,"Northern Metropolitan",7082,484000
"2418","Brunswick West",3,"t","S",2016-06-27,5.9,"3055",3,1,2,157,123,1999,"Moreland City Council",-37.7652,144.9454,"Northern Metropolitan",7082,815000
"2419","Brunswick West",3,"h","VB",2016-11-27,5.9,"3055",3,1,2,726,124,1950,"Moreland City Council",-37.7747,144.9421,"Northern Metropolitan",7082,1150000
"2420","Brunswick West",1,"u","PI",2016-11-27,5.9,"3055",1,1,1,0,52,2000,"Moreland City Council",-37.7614,144.9393,"Northern Metropolitan",7082,351000
"2421","Brunswick West",2,"u","SP",2016-11-27,5.9,"3055",2,1,1,321,81,1980,"Moreland City Council",-37.7177,144.9976,"Northern Metropolitan",7082,395000
"2422","Brunswick West",4,"h","VB",2016-05-28,5.9,"3055",4,1,2,519,169,1910,"Moreland City Council",-37.7747,144.9474,"Northern Metropolitan",7082,1150000
"2424","Brunswick West",4,"h","VB",2016-05-28,5.9,"3055",4,2,2,263,169,2015,"Moreland City Council",-37.84839,145.13272,"Northern Metropolitan",7082,1600000
"2425","Brunswick West",2,"t","S",2016-05-28,5.9,"3055",2,1,1,69,78,2009,"Moreland City Council",-37.766,144.9439,"Northern Metropolitan",7082,598000
"2426","Brunswick West",2,"u","S",2016-05-28,5.9,"3055",2,1,1,0,84,1977,"Moreland City Council",-37.7647,144.9412,"Northern Metropolitan",7082,497000
"2427","Brunswick West",2,"u","S",2016-05-28,5.9,"3055",2,1,2,0,78,1980,"Moreland City Council",-37.7643,144.9477,"Northern Metropolitan",7082,403000
"2428","Brunswick West",2,"h","PI",2016-08-28,5.9,"3055",2,1,1,0,62,1960,"Moreland City Council",-37.7577,144.9354,"Northern Metropolitan",7082,440000
"2429","Brunswick West",2,"h","S",2016-08-28,5.9,"3055",3,2,1,343,115,1930,"Moreland City Council",-37.7552,144.9458,"Northern Metropolitan",7082,816000
"2430","Brunswick West",4,"h","SP",2016-07-30,5.9,"3055",4,1,2,562,145,1920,"Moreland City Council",-37.7583,144.9428,"Northern Metropolitan",7082,1585000
"2431","Brunswick West",4,"h","PI",2016-07-30,5.9,"3055",4,3,2,499,150,1925,"Moreland City Council",-37.7538,144.944,"Northern Metropolitan",7082,970000
"2432","Brunswick West",3,"u","VB",2016-07-30,5.9,"3055",3,1,2,263,133,2014,"Moreland City Council",-37.7307,144.92717,"Northern Metropolitan",7082,490000
"2433","Bulleen",3,"u","S",2016-09-03,11.8,"3105",3,1,2,385,140,2000,"Manningham City Council",-37.7599,145.0849,"Eastern Metropolitan",4480,851000
"2434","Bulleen",4,"h","S",2016-09-03,11.8,"3105",4,1,2,717,180,1960,"Manningham City Council",-37.7608,145.0862,"Eastern Metropolitan",4480,1300000
"2435","Bulleen",4,"h","PI",2016-09-03,11.8,"3105",3,2,2,562,33,1960,"Manningham City Council",-37.7628,145.0994,"Eastern Metropolitan",4480,1110000
"2436","Bulleen",4,"h","S",2016-09-03,11.8,"3105",4,2,2,556,214,1957,"Manningham City Council",-37.7657,145.0957,"Eastern Metropolitan",4480,1235000
"2437","Bulleen",4,"t","PI",2016-12-03,11.8,"3105",4,2,2,263,169,2015,"Manningham City Council",-37.716,145.1391,"Eastern Metropolitan",4480,930000
"2438","Bulleen",4,"h","S",2016-12-03,11.8,"3105",4,3,2,410,212,2012,"Manningham City Council",-37.7695,145.082,"Eastern Metropolitan",4480,1505000
"2439","Bulleen",3,"t","S",2016-12-03,11.8,"3105",3,1,2,263,133,2014,"Manningham City Council",-37.80594,144.9826,"Eastern Metropolitan",4480,790000
"2440","Bulleen",4,"h","SP",2017-03-04,11.8,"3105",4,2,2,670,197,1980,"Manningham City Council",-37.7695,145.0869,"Eastern Metropolitan",4480,1303000
"2441","Bulleen",5,"h","S",2017-03-04,11.8,"3105",5,3,3,736,40,1975,"Manningham City Council",-37.7683,145.0881,"Eastern Metropolitan",4480,1336000
"2442","Bulleen",3,"h","PI",2016-06-04,11.8,"3105",3,2,2,514,190,1960,"Manningham City Council",-37.7683,145.0959,"Eastern Metropolitan",4480,880000
"2443","Bulleen",3,"h","S",2016-06-04,11.8,"3105",3,1,1,701,120,1960,"Manningham City Council",-37.7729,145.098,"Eastern Metropolitan",4480,980000
"2444","Bulleen",3,"t","PI",2016-06-04,11.8,"3105",3,2,2,632,226,2013,"Manningham City Council",-37.7813,145.102,"Eastern Metropolitan",4480,975000
"2445","Bulleen",3,"h","S",2016-08-06,11.8,"3105",3,1,2,631,119,1970,"Manningham City Council",-37.7778,145.0901,"Eastern Metropolitan",4480,1127000
"2446","Bulleen",3,"h","PI",2016-08-06,11.8,"3105",3,2,1,585,180,1950,"Manningham City Council",-37.7689,145.099,"Eastern Metropolitan",4480,990000
"2447","Bulleen",4,"h","S",2016-08-06,11.8,"3105",5,2,2,617,145,1965,"Manningham City Council",-37.7582,145.0889,"Eastern Metropolitan",4480,1401000
"2449","Bulleen",3,"h","S",2016-05-07,11.8,"3105",2,1,2,775,125,1965,"Manningham City Council",-37.779,145.101,"Eastern Metropolitan",4480,1340000
"2451","Bulleen",4,"h","S",2016-05-07,11.8,"3105",4,2,2,723,159,1970,"Manningham City Council",-37.7724,145.1033,"Eastern Metropolitan",4480,1225000
"2452","Bulleen",5,"h","S",2016-11-07,11.8,"3105",5,3,2,796,304,1975,"Manningham City Council",-37.7697,145.0871,"Eastern Metropolitan",4480,1490000
"2453","Bulleen",4,"h","S",2016-11-07,11.8,"3105",4,2,2,263,169,2015,"Manningham City Council",-37.8101,145.13087,"Eastern Metropolitan",4480,1380000
"2455","Bulleen",3,"t","SP",2016-10-08,11.8,"3105",3,2,2,315,177,1960,"Manningham City Council",-37.7607,145.0853,"Eastern Metropolitan",4480,1250000
"2456","Bulleen",4,"h","S",2016-10-08,11.8,"3105",4,1,2,650,323,1960,"Manningham City Council",-37.778,145.0913,"Eastern Metropolitan",4480,1002000
"2457","Bulleen",5,"h","PI",2016-10-08,11.8,"3105",4,2,2,522,169,2015,"Manningham City Council",-37.7907,144.8422,"Eastern Metropolitan",4480,950000
"2458","Bulleen",2,"t","S",2016-10-08,11.8,"3105",2,1,1,321,81,1970,"Manningham City Council",-37.82255,145.0294,"Eastern Metropolitan",4480,836000
"2459","Bulleen",4,"h","S",2016-09-10,11.8,"3105",4,2,2,730,171,1971,"Manningham City Council",-37.7606,145.0932,"Eastern Metropolitan",4480,1260000
"2460","Bulleen",3,"h","S",2016-12-10,11.8,"3105",3,3,2,401,165,1965,"Manningham City Council",-37.7733,145.0901,"Eastern Metropolitan",4480,905000
"2461","Bulleen",3,"h","S",2016-12-10,11.8,"3105",3,1,3,770,134,1950,"Manningham City Council",-37.7644,145.0886,"Eastern Metropolitan",4480,1400000
"2462","Bulleen",4,"h","PI",2016-12-10,11.8,"3105",4,2,2,263,169,2015,"Manningham City Council",-37.8101,144.91227,"Eastern Metropolitan",4480,1550000
"2463","Bulleen",4,"h","PI",2016-12-10,11.8,"3105",4,2,1,1124,225,1960,"Manningham City Council",-37.7679,145.0958,"Eastern Metropolitan",4480,1085000
"2464","Bulleen",4,"h","SP",2016-12-10,11.8,"3105",4,3,1,604,212,2003,"Manningham City Council",-37.7621,145.086,"Eastern Metropolitan",4480,1300000
"2465","Bulleen",3,"h","S",2016-12-10,11.8,"3105",3,1,2,263,133,2014,"Manningham City Council",-37.7668,145.1051,"Eastern Metropolitan",4480,1240000
"2466","Bulleen",3,"u","S",2017-02-11,11.8,"3105",3,1,2,306,100,1985,"Manningham City Council",-37.7792,145.0903,"Eastern Metropolitan",4480,787000
"2467","Bulleen",4,"h","S",2017-03-11,11.8,"3105",4,1,2,732,6791,1960,"Manningham City Council",-37.7615,145.0897,"Eastern Metropolitan",4480,1280000
"2469","Bulleen",5,"h","PI",2016-11-12,11.8,"3105",5,2,2,522,169,2015,"Manningham City Council",-37.7893,144.99021,"Eastern Metropolitan",4480,1900000
"2470","Bulleen",3,"h","S",2016-11-12,11.8,"3105",3,1,1,604,96,1960,"Manningham City Council",-37.7711,145.0928,"Eastern Metropolitan",4480,1075000
"2471","Bulleen",3,"h","PI",2016-11-12,11.8,"3105",3,1,2,263,133,2014,"Manningham City Council",-37.875,145.0861,"Eastern Metropolitan",4480,1100000
"2472","Bulleen",2,"h","S",2016-11-12,11.8,"3105",2,1,2,559,100,1955,"Manningham City Council",-37.7739,145.094,"Eastern Metropolitan",4480,890000
"2473","Bulleen",3,"h","PI",2016-05-14,11.8,"3105",3,1,2,263,133,2014,"Manningham City Council",-37.7815,145.0096,"Eastern Metropolitan",4480,975000
"2474","Bulleen",4,"h","PI",2016-05-14,11.8,"3105",4,3,2,411,213,1970,"Manningham City Council",-37.7698,145.083,"Eastern Metropolitan",4480,1320000
"2475","Bulleen",4,"h","SP",2016-10-15,11.8,"3105",4,2,2,475,245,1996,"Manningham City Council",-37.765,145.0933,"Eastern Metropolitan",4480,1302000
"2476","Bulleen",3,"h","PI",2016-10-15,11.8,"3105",3,2,1,728,719,1965,"Manningham City Council",-37.7765,145.1031,"Eastern Metropolitan",4480,1050000
"2478","Bulleen",4,"h","S",2016-04-16,11.8,"3105",4,2,2,263,169,2015,"Manningham City Council",-37.75845,144.93448,"Eastern Metropolitan",4480,1298000
"2479","Bulleen",4,"h","VB",2016-04-16,11.8,"3105",4,2,3,672,212,1970,"Manningham City Council",-37.7689,145.0895,"Eastern Metropolitan",4480,1000000
"2481","Bulleen",4,"h","S",2017-03-18,11.8,"3105",4,2,2,744,300,1985,"Manningham City Council",-37.7791,145.086,"Eastern Metropolitan",4480,1300000
"2482","Bulleen",4,"h","S",2017-03-18,11.8,"3105",4,2,2,732,151,1965,"Manningham City Council",-37.7771,145.0855,"Eastern Metropolitan",4480,1250000
"2483","Bulleen",4,"h","S",2016-06-18,11.8,"3105",4,1,1,701,200,1960,"Manningham City Council",-37.7786,145.0945,"Eastern Metropolitan",4480,976000
"2484","Bulleen",2,"h","S",2016-06-18,11.8,"3105",3,1,1,551,90,1968,"Manningham City Council",-37.7739,145.0962,"Eastern Metropolitan",4480,980000
"2485","Bulleen",4,"h","S",2016-11-19,11.8,"3105",4,2,2,263,169,2015,"Manningham City Council",-37.75845,144.93448,"Eastern Metropolitan",4480,1120000
"2486","Bulleen",3,"u","S",2016-11-19,11.8,"3105",3,1,1,421,120,1960,"Manningham City Council",-37.7798,145.1023,"Eastern Metropolitan",4480,812500
"2487","Bulleen",4,"h","S",2016-05-22,11.8,"3105",4,2,2,263,169,2015,"Manningham City Council",-37.75845,145.1167,"Eastern Metropolitan",4480,1280000
"2488","Bulleen",3,"h","PI",2016-08-22,11.8,"3105",3,1,2,602,175,1975,"Manningham City Council",-37.7674,145.0988,"Eastern Metropolitan",4480,990000
"2489","Bulleen",3,"h","S",2016-08-22,11.8,"3105",3,1,2,263,133,2014,"Manningham City Council",-37.81303,145.14491,"Eastern Metropolitan",4480,1150000
"2491","Bulleen",3,"h","S",2016-04-23,11.8,"3105",3,1,2,263,133,2014,"Manningham City Council",-37.77615,145.08907,"Eastern Metropolitan",4480,1060000
"2492","Bulleen",4,"h","PI",2016-04-23,11.8,"3105",4,2,2,530,145,1930,"Manningham City Council",-37.7735,145.088,"Eastern Metropolitan",4480,1244000
"2493","Bulleen",4,"h","PI",2016-09-24,11.8,"3105",4,2,2,693,212,1975,"Manningham City Council",-37.7743,145.0863,"Eastern Metropolitan",4480,1100000
"2494","Bulleen",4,"h","VB",2016-09-24,11.8,"3105",4,2,2,617,240,1998,"Manningham City Council",-37.7569,145.0913,"Eastern Metropolitan",4480,1475000
"2495","Bulleen",4,"h","S",2016-09-24,11.8,"3105",4,2,3,554,240,1963,"Manningham City Council",-37.7624,145.0961,"Eastern Metropolitan",4480,1140000
"2496","Bulleen",2,"h","S",2017-02-25,11.8,"3105",2,1,0,359,15,1950,"Manningham City Council",-37.7609,145.0869,"Eastern Metropolitan",4480,833000
"2497","Bulleen",4,"h","S",2017-02-25,11.8,"3105",4,2,2,263,169,2015,"Manningham City Council",-37.84839,145.13272,"Eastern Metropolitan",4480,1600000
"2498","Bulleen",2,"h","S",2016-07-26,11.8,"3105",2,1,1,591,140,1965,"Manningham City Council",-37.7679,145.0978,"Eastern Metropolitan",4480,903000
"2500","Bulleen",3,"t","PI",2016-11-27,11.8,"3105",3,1,2,263,133,2014,"Manningham City Council",-37.8013,145.0451,"Eastern Metropolitan",4480,905000
"2501","Bulleen",4,"h","VB",2016-11-27,11.8,"3105",4,2,2,263,169,2015,"Manningham City Council",-37.716,144.9663,"Eastern Metropolitan",4480,1125000
"2502","Bulleen",3,"h","SP",2016-11-27,11.8,"3105",3,1,2,263,133,2014,"Manningham City Council",-37.75506,145.0049,"Eastern Metropolitan",4480,1250000
"2503","Bulleen",4,"h","S",2016-05-28,11.8,"3105",4,2,2,740,151,1950,"Manningham City Council",-37.7781,145.0901,"Eastern Metropolitan",4480,1351000
"2504","Bulleen",2,"h","S",2016-05-28,11.8,"3105",2,1,2,609,100,1955,"Manningham City Council",-37.7762,145.0958,"Eastern Metropolitan",4480,1060000
"2505","Bulleen",3,"h","S",2016-05-28,11.8,"3105",3,1,2,602,85,1970,"Manningham City Council",-37.7712,145.097,"Eastern Metropolitan",4480,1063000
"2507","Bulleen",3,"u","PI",2016-07-30,11.8,"3105",3,1,2,263,133,2014,"Manningham City Council",-37.7307,144.9704,"Eastern Metropolitan",4480,850000
"2508","Burwood",5,"h","S",2016-09-03,11.7,"3125",4,3,2,661,253,1940,"Monash City Council",-37.848,145.098,"Southern Metropolitan",5678,1590000
"2509","Burwood",3,"h","S",2016-12-03,11.7,"3125",3,1,2,697,130,1957,"Monash City Council",-37.851,145.1169,"Southern Metropolitan",5678,1390000
"2512","Burwood",3,"h","SA",2016-12-03,11.7,"3125",3,1,2,773,124,1960,"Monash City Council",-37.8562,145.1104,"Southern Metropolitan",5678,1300000
"2513","Burwood",4,"h","S",2016-12-03,11.7,"3125",4,2,2,1145,111,1960,"Monash City Council",-37.8538,145.127,"Southern Metropolitan",5678,1890000
"2514","Burwood",3,"u","S",2016-12-03,11.7,"3125",3,2,2,265,130,2000,"Monash City Council",-37.8516,145.1056,"Southern Metropolitan",5678,1022500
"2515","Burwood",3,"h","VB",2016-12-03,11.7,"3125",3,1,1,662,120,1960,"Monash City Council",-37.8561,145.1054,"Southern Metropolitan",5678,1250000
"2516","Burwood",3,"h","S",2016-02-04,11.7,"3125",3,1,1,695,120,1960,"Monash City Council",-37.8551,145.1121,"Southern Metropolitan",5678,1151000
"2517","Burwood",3,"h","S",2016-02-04,11.7,"3125",3,1,1,931,145,1970,"Monash City Council",-37.854,145.1195,"Southern Metropolitan",5678,1755000
"2518","Burwood",5,"h","S",2017-03-04,11.7,"3125",4,2,2,522,169,2015,"Monash City Council",-37.7591,144.91227,"Southern Metropolitan",5678,1505000
"2522","Burwood",3,"h","S",2017-03-04,11.7,"3125",3,1,2,263,133,2014,"Monash City Council",-37.80594,144.9826,"Southern Metropolitan",5678,935000
"2523","Burwood",3,"u","PI",2017-03-04,11.7,"3125",3,1,2,273,116,1980,"Monash City Council",-37.8473,145.1203,"Southern Metropolitan",5678,686000
"2524","Burwood",3,"h","S",2017-03-04,11.7,"3125",3,1,1,319,88,2014,"Monash City Council",-37.84497,144.99781,"Southern Metropolitan",5678,1400000
"2525","Burwood",2,"u","S",2016-06-04,11.7,"3125",2,1,1,321,81,1960,"Monash City Council",-37.8355,145.0589,"Southern Metropolitan",5678,604000
"2526","Burwood",3,"h","S",2016-06-04,11.7,"3125",3,1,1,667,136,1950,"Monash City Council",-37.8489,145.1093,"Southern Metropolitan",5678,1300000
"2528","Burwood",3,"h","S",2016-06-04,11.7,"3125",3,1,1,786,111,1950,"Monash City Council",-37.8525,145.1198,"Southern Metropolitan",5678,1160000
"2532","Burwood",4,"h","S",2016-05-07,11.7,"3125",4,3,2,928,229,1996,"Monash City Council",-37.842,145.102,"Southern Metropolitan",5678,2000000
"2533","Burwood",2,"u","S",2016-11-07,11.7,"3125",2,1,1,321,81,1960,"Monash City Council",-37.8355,145.0589,"Southern Metropolitan",5678,601000
"2534","Burwood",3,"h","S",2016-11-07,11.7,"3125",3,1,2,318,103,1960,"Monash City Council",-37.8544,145.1114,"Southern Metropolitan",5678,790000
"2536","Burwood",3,"t","VB",2016-11-07,11.7,"3125",3,1,2,263,133,2014,"Monash City Council",-37.90017,145.069,"Southern Metropolitan",5678,930000
"2538","Burwood",4,"h","S",2016-10-08,11.7,"3125",4,2,1,921,174,1950,"Monash City Council",-37.8494,145.1291,"Southern Metropolitan",5678,1682000
"2539","Burwood",3,"u","PI",2016-09-10,11.7,"3125",3,2,1,0,115,2002,"Monash City Council",-37.8561,145.0962,"Southern Metropolitan",5678,625000
"2540","Burwood",3,"t","VB",2016-09-10,11.7,"3125",3,2,2,160,150,2000,"Monash City Council",-37.8525,145.0973,"Southern Metropolitan",5678,780000
"2541","Burwood",3,"h","S",2016-12-10,11.7,"3125",3,1,2,690,130,1960,"Monash City Council",-37.8509,145.117,"Southern Metropolitan",5678,1342000
"2542","Burwood",4,"h","S",2016-12-10,11.7,"3125",4,2,2,263,169,2015,"Monash City Council",-37.75845,144.93448,"Southern Metropolitan",5678,1381000
"2544","Burwood",4,"h","SP",2016-12-10,11.7,"3125",4,2,2,804,269,1930,"Monash City Council",-37.8516,145.1179,"Southern Metropolitan",5678,1782800
"2545","Burwood",3,"t","S",2017-02-11,11.7,"3125",3,1,2,263,133,2014,"Monash City Council",-37.80594,145.0451,"Southern Metropolitan",5678,956000
"2546","Burwood",3,"h","S",2017-02-11,11.7,"3125",3,1,2,706,130,1930,"Monash City Council",-37.8509,145.1161,"Southern Metropolitan",5678,1468000
"2548","Burwood",2,"u","PI",2017-03-11,11.7,"3125",2,1,1,194,120,1975,"Monash City Council",-37.8509,145.1119,"Southern Metropolitan",5678,650000
"2551","Burwood",5,"h","S",2016-06-12,11.7,"3125",4,3,2,326,210,2013,"Monash City Council",-37.8528,145.1129,"Southern Metropolitan",5678,1060000
"2552","Burwood",4,"h","S",2016-06-12,11.7,"3125",4,2,2,263,169,2015,"Monash City Council",-37.8101,144.93448,"Southern Metropolitan",5678,1765000
"2553","Burwood",4,"h","S",2016-11-12,11.7,"3125",4,2,2,438,210,2005,"Monash City Council",-37.8599,145.1101,"Southern Metropolitan",5678,1255000
"2555","Burwood",4,"h","S",2016-08-13,11.7,"3125",3,1,4,586,135,1955,"Monash City Council",-37.856,145.1196,"Southern Metropolitan",5678,900000
"2556","Burwood",2,"h","S",2016-05-14,11.7,"3125",2,1,1,276,92,1965,"Monash City Council",-37.8454,145.0971,"Southern Metropolitan",5678,633000
"2557","Burwood",3,"h","SP",2016-05-14,11.7,"3125",3,1,2,776,158,1950,"Monash City Council",-37.856,145.1104,"Southern Metropolitan",5678,1070500
"2558","Burwood",3,"h","S",2016-10-15,11.7,"3125",3,1,2,661,160,1950,"Monash City Council",-37.8495,145.1282,"Southern Metropolitan",5678,1175000
"2559","Burwood",3,"h","S",2016-10-15,11.7,"3125",3,2,2,660,150,1960,"Monash City Council",-37.8474,145.0988,"Southern Metropolitan",5678,1521000
"2562","Burwood",2,"h","S",2016-04-16,11.7,"3125",2,1,2,593,82,1950,"Monash City Council",-37.8444,145.1054,"Southern Metropolitan",5678,1350000
